

This simulation starts at 2018-04-07 08:35:31
This result is related to [Result of Modem_4x4_H1.txt]
SNR      BER
45.00   0.1374900000
45.50   0.1322739000
46.00   0.1267361500
46.50   0.1210582000
47.00   0.1154235500
47.50   0.1096281000
48.00   0.1039114500
48.50   0.0981009500
49.00   0.0923582500
49.50   0.0865979000
50.00   0.0810438500
50.50   0.0755222500
51.00   0.0703319500
51.50   0.0652355000
52.00   0.0602512000
52.50   0.0554877000
53.00   0.0509619000
53.50   0.0466856000
54.00   0.0426548000
54.50   0.0388457000
55.00   0.0353100500
55.50   0.0320225500
56.00   0.0289197500
56.50   0.0259402000
57.00   0.0232050000
57.50   0.0206697000
58.00   0.0183213500
58.50   0.0161019000
59.00   0.0140230000
59.50   0.0120604500
60.00   0.0103938000


This simulation starts at 2018-04-07 08:39:42
This result is related to [Result of Modem_4x4_H1.txt]
SNR      BER
45.00   0.1376485500
45.50   0.1322182000
46.00   0.1267949500
46.50   0.1210951500
47.00   0.1154531500
47.50   0.1097897500
48.00   0.1039485000
48.50   0.0980772500
49.00   0.0923022000
49.50   0.0866308500
50.00   0.0810837500
50.50   0.0756914500
51.00   0.0702966000
51.50   0.0651619000
52.00   0.0602528500
52.50   0.0555567000
53.00   0.0512537000
53.50   0.0468451000
54.00   0.0428153000
54.50   0.0389613000
55.00   0.0353601500
55.50   0.0321170500
56.00   0.0289260500
56.50   0.0260611000
57.00   0.0232783500
57.50   0.0207413000
58.00   0.0183510000
58.50   0.0161304000
59.00   0.0140726000
59.50   0.0121379000
60.00   0.0104024000
60.50   0.0088207000
61.00   0.0073327000
61.50   0.0060311500
62.00   0.0048519500
62.50   0.0038658000
63.00   0.0029544000
63.50   0.0022583500
64.00   0.0016274500
64.50   0.0011600000
65.00   0.0007897500
65.50   0.0004933500
66.00   0.0003137000
66.50   0.0001809000
67.00   0.0001004500
67.50   0.0000461000
68.00   0.0000225000
68.50   0.0000094500
69.00   0.0000030500
69.50   0.0000011000
70.00   0.0000000000
70.50   0.0000000000
71.00   0.0000000000
71.50   0.0000000000
72.00   0.0000000000
72.50   0.0000000000
73.00   0.0000000000
73.50   0.0000000000
74.00   0.0000000000
74.50   0.0000000000
75.00   0.0000000000
75.50   0.0000000000
76.00   0.0000000000
76.50   0.0000000000
77.00   0.0000000000
77.50   0.0000000000
78.00   0.0000000000
78.50   0.0000000000
79.00   0.0000000000
79.50   0.0000000000
80.00   0.0000000000
80.50   0.0000000000
81.00   0.0000000000
81.50   0.0000000000
82.00   0.0000000000
82.50   0.0000000000
83.00   0.0000000000
83.50   0.0000000000
84.00   0.0000000000
84.50   0.0000000000
85.00   0.0000000000
85.50   0.0000000000
86.00   0.0000000000
86.50   0.0000000000
87.00   0.0000000000
87.50   0.0000000000
88.00   0.0000000000
88.50   0.0000000000
89.00   0.0000000000
89.50   0.0000000000
90.00   0.0000000000
90.50   0.0000000000


This simulation starts at 2018-04-07 09:43:09
This result is related to [Result of Modem_4x4_H1.txt]
SNR      BER
45.00   0.1285933000
45.50   0.1217515500
46.00   0.1151263000
46.50   0.1081018500
47.00   0.1016466000
47.50   0.0954537500
48.00   0.0892386500
48.50   0.0831046000
49.00   0.0770530000
49.50   0.0711786500
50.00   0.0654526500
50.50   0.0598833000
51.00   0.0545402000
51.50   0.0494705500
52.00   0.0447948500
52.50   0.0403284000
53.00   0.0361211500
53.50   0.0322308500
54.00   0.0285210500
54.50   0.0253183500
55.00   0.0222266500
55.50   0.0194692500
56.00   0.0169510000
56.50   0.0145597000
57.00   0.0124525000
57.50   0.0104234000
58.00   0.0086119000
58.50   0.0070471000
59.00   0.0057133000
59.50   0.0044210500
60.00   0.0034002500
60.50   0.0024927000
61.00   0.0018029000
61.50   0.0012473000
62.00   0.0008233500
62.50   0.0005164500
63.00   0.0003179000
63.50   0.0001865500
64.00   0.0000855000
64.50   0.0000421500
65.00   0.0000177000
65.50   0.0000048000
66.00   0.0000017500
66.50   0.0000014000
67.00   0.0000000000
67.50   0.0000000000
68.00   0.0000000000
68.50   0.0000000000
69.00   0.0000000000
69.50   0.0000000000
70.00   0.0000000000
70.50   0.0000000000
71.00   0.0000000000
71.50   0.0000000000
72.00   0.0000000000
72.50   0.0000000000
73.00   0.0000000000
73.50   0.0000000000
74.00   0.0000000000
74.50   0.0000000000
75.00   0.0000000000
75.50   0.0000000000
76.00   0.0000000000
76.50   0.0000000000
77.00   0.0000000000
77.50   0.0000000000
78.00   0.0000000000
78.50   0.0000000000
79.00   0.0000000000
79.50   0.0000000000
80.00   0.0000000000
80.50   0.0000000000
81.00   0.0000000000
81.50   0.0000000000
82.00   0.0000000000
82.50   0.0000000000
83.00   0.0000000000
83.50   0.0000000000
84.00   0.0000000000
84.50   0.0000000000
85.00   0.0000000000
85.50   0.0000000000
86.00   0.0000000000
86.50   0.0000000000
87.00   0.0000000000
87.50   0.0000000000
88.00   0.0000000000
88.50   0.0000000000
89.00   0.0000000000
89.50   0.0000000000
90.00   0.0000000000
90.50   0.0000000000
91.00   0.0000000000
91.50   0.0000000000
92.00   0.0000000000
92.50   0.0000000000
93.00   0.0000000000
93.50   0.0000000000
94.00   0.0000000000
94.50   0.0000000000
